"id","name","created_at","updated_at"
827,Finca Luciernaga,2019-12-19 15:19:57.368,2019-12-19 15:19:57.368
830,Q'antxabina,2019-12-19 16:16:14.580,2019-12-19 16:16:14.580
831,Pegasing Gegaring,2019-12-19 19:38:38.729,2019-12-19 19:38:38.729
859,Herbazu,2020-01-13 16:05:39.734,2020-01-13 16:05:39.734
878,Irmãs Pereira,2020-01-17 22:41:07.560,2020-01-17 22:41:07.560
892,Casa Abajo,2020-04-13 20:11:58.167,2020-04-13 20:11:58.167
907,Finca Los Alerces ,2020-04-21 17:39:34.078,2020-04-21 17:39:34.078
925,San Martin,2020-05-11 01:08:26.983,2020-05-11 01:08:26.983
939,Finca Noruega,2020-05-19 20:32:07.943,2020-05-19 20:32:07.943
954,Los Papales,2020-06-10 20:06:09.674,2020-06-10 20:06:09.674
964,Kapchorwa,2020-11-01 23:08:43.736,2020-11-01 23:08:43.736
119,Finca Los Laureles,2018-09-16 00:23:34.272,2018-09-16 00:23:34.272
120,Finca Los Pinos,2018-09-16 00:31:09.821,2018-09-16 00:31:09.821
743,Tres Milagros (Tobosi/Higuito),2019-11-06 16:29:45.425,2019-11-06 16:29:45.425
124,Farami de Dota,2018-09-16 02:02:39.193,2018-09-16 02:02:39.193
745,Mumuxa,2019-11-07 15:51:31.692,2019-11-07 15:51:31.692
746,Makamu Estate,2019-11-08 18:30:35.470,2019-11-08 18:30:35.470
766,El Espejo,2019-11-17 02:18:07.968,2019-11-17 02:18:07.968
767,Finca Santa Nory,2019-11-17 02:52:35.566,2019-11-17 02:52:35.566
793,El Sauce,2019-12-04 17:19:36.373,2019-12-04 17:19:36.373
810,Los Mangos,2019-12-11 21:31:41.210,2019-12-11 21:31:41.210
815,Damarli Estate,2019-12-12 02:11:20.682,2019-12-12 02:11:20.682
824,La Ponderosa,2019-12-18 19:29:37.401,2019-12-18 19:29:37.401
826,Finca San Antonio,2019-12-19 15:09:37.596,2019-12-19 15:09:37.596
829,Tipoj,2019-12-19 15:49:35.057,2019-12-19 15:49:35.057
833,Villa España,2019-12-20 16:16:02.533,2019-12-20 16:16:02.533
834,Aromas del Sur farms,2019-12-27 03:22:23.397,2019-12-27 03:22:23.397
835,Black Rock farms,2019-12-27 23:51:01.594,2019-12-27 23:51:01.594
861,La Guadalupana,2020-01-14 17:23:46.376,2020-01-14 17:23:46.376
868,Finca El Paraiso,2020-01-16 19:49:13.682,2020-01-16 19:49:13.682
893,Finca El Sabino,2020-04-13 22:50:59.851,2020-04-13 22:50:59.851
908,Los Cedros,2020-04-22 02:54:17.904,2020-04-22 02:54:17.904
926,Sitio das Nascentes,2020-05-11 21:29:46.053,2020-05-11 21:29:46.053
940,Bioma,2020-05-25 03:02:53.346,2020-05-25 03:02:53.346
941,Bioma Cafe - Fazenda Olhos d'Água,2020-05-25 03:04:18.796,2020-05-25 03:04:18.796
955,Finca El Metate,2020-06-22 22:00:22.664,2020-06-22 22:00:22.664
965,La Eva Micro-Mill,2020-12-04 03:41:18.287,2020-12-04 03:41:18.287
