"id","name","created_at","updated_at"
121,Gichatha-Ini Factory,2018-12-17 16:43:56.209,2018-12-17 16:43:56.209
122,Solena Factory,2018-12-17 17:34:27.034,2018-12-17 17:34:27.034
401,Chisi Washing Station,2019-11-06 16:09:46.294,2019-11-06 16:09:46.294
403,Mirichu Factory,2019-11-06 16:45:01.424,2019-11-06 16:45:01.424
404,Kapchorwa Washing Station,2019-11-06 21:02:11.683,2019-11-06 21:02:11.683
413,Kagere Factory,2019-11-15 20:22:26.406,2019-11-15 20:22:26.406
416,Buno Dry Processing Station,2019-11-15 21:25:39.294,2019-11-15 21:25:39.294
423,Gachuiro Factory,2019-11-22 14:45:14.569,2019-11-22 14:45:14.569
434,Kamviiu Factory,2019-12-04 22:31:18.572,2019-12-04 22:31:18.572
447,Cafés Especiales Corquín S.A (CAF´ESCOR)'s Mill,2019-12-19 15:39:49.406,2019-12-19 15:39:49.406
454,Ichamara Factory,2020-01-02 00:10:46.909,2020-01-02 00:10:46.909
460,Korokoro Washing Station,2020-01-14 19:12:38.781,2020-01-14 19:12:38.781
471,Qonqona Washing Station,2020-04-13 20:07:45.279,2020-04-13 20:07:45.279
477,Coffee NACE Micromill,2020-04-15 20:12:04.539,2020-04-15 20:12:04.539
483,Roteps Wet Mill,2020-05-12 00:12:26.572,2020-05-12 00:12:26.572
490,Nyakarenzo,2020-05-15 21:03:08.809,2020-05-15 21:03:08.809
496,Nyagishiru,2020-06-22 22:17:12.030,2020-06-22 22:17:12.030
118,Beneficio Atlantic Ocotal,2018-12-10 06:26:45.227,2018-12-10 06:26:45.227
406,Koimbi Factory,2019-11-07 15:47:41.105,2019-11-07 15:47:41.105
414,Cafetalera Buenos Aires,2019-11-15 20:31:53.218,2019-11-15 20:31:53.218
424,Kenyacof,2019-11-22 14:51:32.462,2019-11-22 14:51:32.462
427,Ragati Washing Station,2019-11-22 17:43:29.644,2019-11-22 17:43:29.644
435,Mahembe Washing Station,2019-12-04 23:11:13.170,2019-12-04 23:11:13.170
436,Kamagogo,2019-12-05 01:45:14.450,2019-12-05 01:45:14.450
449,Beneficio Los Castaños,2019-12-20 16:06:49.059,2019-12-20 16:06:49.059
455,Anasora Mill,2020-01-03 16:20:34.198,2020-01-03 16:20:34.198
464,Sakicha,2020-03-06 16:54:14.600,2020-03-06 16:54:14.600
472,Tio Juan Wet Mill,2020-04-13 20:12:24.364,2020-04-13 20:12:24.364
478,Bugoyi,2020-04-17 17:36:15.211,2020-04-17 17:36:15.211
484,Gura Factory,2020-05-13 14:25:55.549,2020-05-13 14:25:55.549
491,Kiaragana Factory,2020-05-19 22:15:10.891,2020-05-19 22:15:10.891
497,Rogicha Washing Station,2020-06-29 17:44:41.213,2020-06-29 17:44:41.213
120,CORCASAN RL,2018-12-10 06:56:06.103,2018-12-10 06:56:06.103
408,Tecapa,2019-11-07 23:32:45.155,2019-11-07 23:32:45.155
415,Ye Genet Washing Station,2019-11-15 20:36:44.740,2019-11-15 20:36:44.740
425,Santuario Los Santos Mill,2019-11-22 15:14:26.498,2019-11-22 15:14:26.498
426,Haro Soresa,2019-11-22 16:30:24.458,2019-11-22 16:30:24.458
428,Shangi,2019-11-22 18:49:37.986,2019-11-22 18:49:37.986
437,Beneficio Monte Copey,2019-12-06 16:18:34.122,2019-12-06 16:18:34.122
438,Beneficio La Guadalupana,2019-12-06 19:39:03.073,2019-12-06 19:39:03.073
439,Tumba Washing Station,2019-12-11 18:46:05.984,2019-12-11 18:46:05.984
450,El Puente processing facility,2019-12-27 03:22:48.417,2019-12-27 03:22:48.417
456,Kamunyaka Mill,2020-01-03 16:46:57.765,2020-01-03 16:46:57.765
461,M&M Pura Vida Micro Mill,2020-01-16 21:48:34.328,2020-01-16 21:48:34.328
465,Beka Estate,2020-03-06 17:41:21.620,2020-03-06 17:41:21.620
473,ASOPROAAA Wet Mill,2020-04-13 20:29:22.063,2020-04-13 20:29:22.063
479,Kunjin Dry Mill ,2020-04-21 16:41:00.629,2020-04-21 16:41:00.629
485,Gatuzuka,2020-05-13 15:16:53.501,2020-05-13 15:16:53.501
492,Girma Eshetu Station,2020-05-20 00:37:18.784,2020-05-20 00:37:18.784
498,Ndima-Ini Washing Station,2020-08-25 16:21:07.772,2020-08-25 16:21:07.772
124,Alaka,2018-12-22 21:37:57.484,2018-12-22 21:37:57.484
125,Kigeyo,2019-01-02 18:09:57.327,2019-01-02 18:09:57.327
126,Kiriaini Factory,2019-01-02 19:00:45.981,2019-01-02 19:00:45.981
127,Bombe Washing Station,2019-01-02 19:12:01.353,2019-01-02 19:12:01.353
128,La Palma Wet Mill,2019-01-02 19:25:41.455,2019-01-02 19:25:41.455
129,Hafurso Waro,2019-01-03 21:15:19.809,2019-01-03 21:15:19.809
130,Sipi Falls,2019-01-07 02:58:00.459,2019-01-07 02:58:00.459
131,Chere Washing Station,2019-01-07 03:25:16.824,2019-01-07 03:25:16.824
132,Aroresa Washing Station,2019-01-07 03:25:41.626,2019-01-07 03:25:41.626
133,La Lia Micro mill,2019-01-08 01:34:47.068,2019-01-08 01:34:47.068
134,Beneficio San Vicente,2019-01-08 18:04:40.062,2019-01-08 18:04:40.062
135,DESCAFESOL,2019-01-08 18:12:46.600,2019-01-08 18:12:46.600
136,Aramo Washing Station,2019-01-10 03:04:03.696,2019-01-10 03:04:03.696
